GRIB2
0 15 5  "PREC" "Precipitation" "kg/m^2"
0 15 6  "RDSP1" "Radar Spectra (1)" "-"
0 15 7  "RDSP2" "Radar Spectra (2)" "-"
0 15 8  "RDSP3" "Radar Spectra (3)" "-"
0 16 0  "REFZR" "Equivalent radar reflectivity factor for rain" "mm^6/m^3"
0 16 1  "REFZI" "Equivalent radar reflectivity factor for snow" "mm^6/m^3"
0 16 2  "REFZC" "Equivalent radar reflectivity factor for parameterized convection" "mm^6/m^3"
0 16 3  "RETOP" "Echo Top" "m"
0 16 4  "REFD" "Reflectivity" "dB"
0 16 5  "REFC" "Composite reflectivity" "dB"
0 16 192  "REFZR" "Equivalent radar reflectivity factor for rain" "mm^6/m^3"
0 16 193  "REFZI" "Equivalent radar reflectivity factor for snow" "mm^6/m^3"
0 16 194  "REFZC" "Equivalent radar reflectivity factor for parameterized convection" "mm^6/m^3"
0 16 195  "REFD" "Reflectivity" "dB"
0 16 196  "REFC" "Composite reflectivity" "dB"
0 16 197  "RETOP" "Echo Top" "m"
0 16 198  "MAXREF" "Hourly Maximum of Simulated Reflectivity at 1 km AGL" "dB"
0 17 192  "LTNG" "Lightning" "non-dim"
0 18 0  "ACCES" "Air Concentration of Cesium 137" "Bq/m^3"
0 18 1  "ACIOD" "Air Concentration of Iodine 131" "Bq/m^3"
0 18 2  "ACRADP" "Air Concentration of Radioactive Pollutant" "Bq/m^3"
0 18 3  "GDCES" "Ground Deposition of Cesium 137" "Bq/m^2"
0 18 4  "GDIOD" "Ground Deposition of Iodine 131" "Bq/m^2"
0 18 5  "GDRADP" "Ground Deposition of Radioactive Pollutant" "Bq/m^2"
0 18 6  "TIACCP" "Time Integrated Air Concentration of Cesium Pollutant" "Bq/m^3"
0 18 7  "TIACIP" "Time Integrated Air Concentration of Iodine Pollutant" "Bq/m^3"
0 18 8  "TIACRP" "Time Integrated Air Concentration of Radioactive Pollutant" "Bq/m^3"
0 19 0  "VIS" "Visibility" "m"
0 19 1  "ALBDO" "Albedo" "%"
0 19 2  "TSTM" "Thunderstorm Probability" "%"
0 19 3  "MIXHT" "Mixed Layer Depth" "m"
0 19 4  "VOLASH" "Volcanic Ash" "-"
0 19 5  "ICIT" "Icing Top" "m"
0 19 6  "ICIB" "Icing Base" "m"
0 19 7  "ICI" "Icing" "-"
0 19 8  "TURBT" "Turbulence Top" "m"
0 19 9  "TURBB" "Turbulence Base" "m"
0 19 10  "TURB" "Turbulence" "-"
0 19 11  "TKE" "Turbulent Kinetic Energy" "J/kg"
0 19 12  "PBLREG" "Planetary Boundary Layer Regime" "-"
0 19 13  "CONTI" "Contrail Intensity" "-"
0 19 14  "CONTET" "Contrail Engine Type" "-"
0 19 15  "CONTT" "Contrail Top" "m"
0 19 16  "CONTB" "Contrail Base" "m"
0 19 17  "MXSALB" "Maximum Snow Albedo" "%"
0 19 18  "SNFALB" "Snow-Free Albedo" "%"
0 19 19  "SALBD" "Snow Albedo" "%"
